temperature_2m_mean (°F),time
71,2022-08-19
67.7,2022-08-20
66.3,2022-08-21
66.4,2022-08-22
68.2,2022-08-23
70.2,2022-08-24
73,2022-08-25
71.6,2022-08-26
68.6,2022-08-27
65.6,2022-08-28
63.3,2022-08-29
62.9,2022-08-30
62.2,2022-08-31
60.6,2022-09-01
61.1,2022-09-02
62.3,2022-09-03
64.4,2022-09-04
65.7,2022-09-05
65,2022-09-06
66.2,2022-09-07
62.6,2022-09-08
62.1,2022-09-09
60.8,2022-09-10
59.9,2022-09-11
59.3,2022-09-12
60,2022-09-13
58.9,2022-09-14
57.7,2022-09-15
55.6,2022-09-16
53.4,2022-09-17
51.5,2022-09-18
51.4,2022-09-19
50.6,2022-09-20
51.1,2022-09-21
51.2,2022-09-22
51.4,2022-09-23
54.1,2022-09-24
55.8,2022-09-25
54.9,2022-09-26
51,2022-09-27
46.8,2022-09-28
48,2022-09-29
49.4,2022-09-30
51.2,2022-10-01
54.5,2022-10-02
54.8,2022-10-03
54.9,2022-10-04
57.5,2022-10-05
57.4,2022-10-06
51.3,2022-10-07
52.1,2022-10-08
50,2022-10-09
52.8,2022-10-10
51.1,2022-10-11
49.1,2022-10-12
49.8,2022-10-13
53,2022-10-14
57.9,2022-10-15
59.3,2022-10-16
62.4,2022-10-17
57.4,2022-10-18
51,2022-10-19
47,2022-10-20
53.4,2022-10-21
56.9,2022-10-22
56.4,2022-10-23
59.7,2022-10-24
55.2,2022-10-25
52.2,2022-10-26
56.7,2022-10-27
62,2022-10-28
60.4,2022-10-29
58.6,2022-10-30
55.9,2022-10-31
54.4,2022-11-01
49.9,2022-11-02
47.4,2022-11-03
48.8,2022-11-04
46.4,2022-11-05
44.8,2022-11-06
50.5,2022-11-07
53.2,2022-11-08
54.6,2022-11-09
51.2,2022-11-10
49,2022-11-11
43.7,2022-11-12
46.4,2022-11-13
44.6,2022-11-14
45.2,2022-11-15
42.3,2022-11-16
38.8,2022-11-17
29.7,2022-11-18
28.9,2022-11-19
29.6,2022-11-20
29.3,2022-11-21
31.6,2022-11-22
35.5,2022-11-23
33.3,2022-11-24
38.9,2022-11-25
43.9,2022-11-26
40.6,2022-11-27
38.9,2022-11-28
39.2,2022-11-29
36.3,2022-11-30
32.3,2022-12-01
32.9,2022-12-02
29.8,2022-12-03
33.4,2022-12-04
35.3,2022-12-05
35.8,2022-12-06
35,2022-12-07
33.8,2022-12-08
30.4,2022-12-09
27.6,2022-12-10
27.9,2022-12-11
28.9,2022-12-12
26.6,2022-12-13
20.7,2022-12-14
19.6,2022-12-15
23.5,2022-12-16
24.2,2022-12-17
21.8,2022-12-18
32.2,2022-12-19
41.1,2022-12-20
41.8,2022-12-21
41.8,2022-12-22
40.6,2022-12-23
40.9,2022-12-24
43.6,2022-12-25
47.6,2022-12-26
38.2,2022-12-27
42.3,2022-12-28
48.3,2022-12-29
44.5,2022-12-30
56.8,2022-12-31
57,2023-01-01
53.3,2023-01-02
40.7,2023-01-03
44.6,2023-01-04
45.5,2023-01-05
44.1,2023-01-06
44.4,2023-01-07
44.3,2023-01-08
41.9,2023-01-09
41.1,2023-01-10
43.4,2023-01-11
46.6,2023-01-12
47.2,2023-01-13
45.1,2023-01-14
44.2,2023-01-15
39.5,2023-01-16
36.2,2023-01-17
29.5,2023-01-18
30.4,2023-01-19
28.7,2023-01-20
33.5,2023-01-21
34.2,2023-01-22
33.4,2023-01-23
31.4,2023-01-24
33.3,2023-01-25
31.1,2023-01-26
33.4,2023-01-27
31.1,2023-01-28
34.3,2023-01-29
37.9,2023-01-30
38.5,2023-01-31
38.7,2023-02-01
37.7,2023-02-02
41.7,2023-02-03
32.8,2023-02-04
26.6,2023-02-05
26.9,2023-02-06
25.4,2023-02-07
26.7,2023-02-08
28.9,2023-02-09
36.2,2023-02-10
42.6,2023-02-11
43.7,2023-02-12
