temperature_2m_max (°F),time
73.4,2024-08-21
76.6,2024-08-22
86.9,2024-08-23
89.3,2024-08-24
74.7,2024-08-25
77,2024-08-26
80.2,2024-08-27
86.5,2024-08-28
93.5,2024-08-29
82.4,2024-08-30
74.5,2024-08-31
76.6,2024-09-01
79.4,2024-09-02
90.6,2024-09-03
92.7,2024-09-04
87.5,2024-09-05
84.4,2024-09-06
87.6,2024-09-07
88.7,2024-09-08
66.1,2024-09-09
66.2,2024-09-10
62.6,2024-09-11
59.9,2024-09-12
59.1,2024-09-13
63.5,2024-09-14
64.6,2024-09-15
66.1,2024-09-16
76.5,2024-09-17
77.6,2024-09-18
74.7,2024-09-19
73.1,2024-09-20
73.2,2024-09-21
75.1,2024-09-22
75.7,2024-09-23
63.8,2024-09-24
66.5,2024-09-25
67,2024-09-26
66.9,2024-09-27
59.5,2024-09-28
57.7,2024-09-29
59.2,2024-09-30
55.9,2024-10-01
51.8,2024-10-02
57.4,2024-10-03
58.1,2024-10-04
58,2024-10-05
54.7,2024-10-06
60.8,2024-10-07
69.7,2024-10-08
66.8,2024-10-09
65.5,2024-10-10
54.7,2024-10-11
55.9,2024-10-12
53.3,2024-10-13
53.3,2024-10-14
53.6,2024-10-15
56.8,2024-10-16
61.1,2024-10-17
63.6,2024-10-18
65.6,2024-10-19
61.9,2024-10-20
65.9,2024-10-21
64.4,2024-10-22
58.1,2024-10-23
56.9,2024-10-24
61.5,2024-10-25
62.1,2024-10-26
60.3,2024-10-27
60.5,2024-10-28
58.1,2024-10-29
58.7,2024-10-30
57.8,2024-10-31
55.2,2024-11-01
